Site,SRR7666488,SRR7666480,SRR7666591,SRR7666498,SRR7666581,SRR7666588,SRR7666487,SRR7666500,SRR7666592,SRR7666589,SRR7666595,SRR7666482,SRR7666494,SRR7666490,SRR7666354,SRR7666485,SRR7666497,SRR7666355,SRR7666358,SRR7666351,SRR7666586,SRR7666483,SRR7666357,SRR7666352,SRR7666484,SRR7666348,SRR7666583,SRR7666599,SRR7666495,SRR7666596,SRR7666347,SRR7666481,start,end
chr10_100246935_100253420,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_100246935,chr10_100253420
chr10_100250332_100253420,,,5.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,chr10_100250332,chr10_100253420
chr10_100983817_100986748,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_100983817,chr10_100986748
chr10_100984074_100986748,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_100984074,chr10_100986748
chr10_101624810_101672914,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_101624810,chr10_101672914
chr10_101667980_101672914,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,chr10_101667980,chr10_101672914
chr10_102377128_102379283,,,,,1.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,chr10_102377128,chr10_102379283
chr10_102377140_102379283,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,chr10_102377140,chr10_102379283
chr10_103105381_103105705,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,chr10_103105381,chr10_103105705
chr10_103101326_103105705,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,chr10_103101326,chr10_103105705
chr10_103392466_103396408,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,14.0,,chr10_103392466,chr10_103396408
chr10_103394394_103396408,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,chr10_103394394,chr10_103396408
chr10_103396032_103396408,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_103396032,chr10_103396408
chr10_104077523_104078541,,24.0,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,chr10_104077523,chr10_104078541
chr10_104077526_104078541,33.0,,,,57.0,,60.0,,1.0,,,,,23.0,,,,,,,,,,,,,,,,,,,chr10_104077526,chr10_104078541
chr10_104254573_104255162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,chr10_104254573,chr10_104255162
chr10_104254962_104255162,,,,,,,12.0,,,,,,,,,,,,,,,11.0,3.0,,,,,,9.0,,13.0,3.0,chr10_104254962,chr10_104255162
chr10_110876070_110881232,,,3.0,,4.0,,,,,,23.0,53.0,19.0,18.0,105.0,,,55.0,,36.0,13.0,,38.0,33.0,38.0,,,9.0,,,,,chr10_110876070,chr10_110881232
chr10_110876753_110881232,,,,14.0,,,,,,,,,,,,,,,,24.0,2.0,,,,13.0,,,,,,,,chr10_110876753,chr10_110881232
chr10_110884246_110885252,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_110884246,chr10_110885252
chr10_110883097_110885252,,,10.0,26.0,,7.0,,,,,37.0,92.0,22.0,22.0,83.0,,,39.0,,54.0,55.0,,40.0,35.0,38.0,,9.0,,,,,,chr10_110883097,chr10_110885252
chr10_110901612_110919120,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_110901612,chr10_110919120
