Site,SRR7666488,SRR7666480,SRR7666591,SRR7666498,SRR7666581,SRR7666588,SRR7666487,SRR7666500,SRR7666592,SRR7666589,SRR7666595,SRR7666482,SRR7666494,SRR7666490,SRR7666354,SRR7666485,SRR7666497,SRR7666355,SRR7666358,SRR7666351,SRR7666586,SRR7666483,SRR7666357,SRR7666352,SRR7666484,SRR7666348,SRR7666583,SRR7666599,SRR7666495,SRR7666596,SRR7666347,SRR7666481,start,end
chr10_102157074_102157185,15.0,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,chr10_102157074,chr10_102157185
chr10_102157074_102157188,,,4.0,,5.0,1.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,chr10_102157074,chr10_102157188
chr10_102377128_102379283,,,,,1.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,chr10_102377128,chr10_102379283
chr10_102377128_102379852,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_102377128,chr10_102379852
chr10_103101326_103105357,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,chr10_103101326,chr10_103105357
chr10_103101326_103105705,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,chr10_103101326,chr10_103105705
chr10_103889144_103892129,,38.0,,,,,,,,23.0,,39.0,,,,,,,,,,,,,29.0,,,,,,,,chr10_103889144,chr10_103892129
chr10_103889144_103892296,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_103889144,chr10_103892296
chr10_10919999_11165485,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,chr10_10919999,chr10_11165485
chr10_10919999_11140259,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,chr10_10919999,chr10_11140259
chr10_110876070_110876669,,,,15.0,,,,,,,,5.0,,,,,,,,11.0,5.0,,,,19.0,,,,,,,,chr10_110876070,chr10_110876669
chr10_110876070_110878154,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,chr10_110876070,chr10_110878154
chr10_110876070_110881232,,,3.0,,4.0,,,,,,23.0,53.0,19.0,18.0,105.0,,,55.0,,36.0,13.0,,38.0,33.0,38.0,,,9.0,,,,,chr10_110876070,chr10_110881232
chr10_110876070_110881274,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,chr10_110876070,chr10_110881274
chr10_110901612_110918120,,,,,,,,,,,,,12.0,,,,,,,5.0,,22.0,,,,,2.0,,,,,,chr10_110901612,chr10_110918120
chr10_110901612_110919120,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_110901612,chr10_110919120
chr10_113146097_113150982,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,chr10_113146097,chr10_113150982
chr10_113146097_113150997,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,chr10_113146097,chr10_113150997
chr10_114297100_114297219,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_114297100,chr10_114297219
chr10_114297100_114297231,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_114297100,chr10_114297231
chr10_118336423_118341726,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,32.0,,chr10_118336423,chr10_118341726
chr10_118336423_118337229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,chr10_118336423,chr10_118337229
chr10_119104197_119107947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,chr10_119104197,chr10_119107947
chr10_119104197_119107967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,chr10_119104197,chr10_119107967
chr10_119500259_119515382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,chr10_119500259,chr10_119515382
chr10_119500259_119515508,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,chr10_119500259,chr10_119515508
chr10_12035441_12042754,,,,21.0,,,,,,4.0,,,,,,,,,,25.0,,,,,,,,2.0,,,,,chr10_12035441,chr10_12042754
chr10_12035441_12042913,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,chr10_12035441,chr10_12042913
chr10_121520169_121530321,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,chr10_121520169,chr10_121530321
chr10_121520169_121538591,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,chr10_121520169,chr10_121538591
chr10_121974081_121974873,,,,,,,,,,,,23.0,8.0,7.0,61.0,,,,,,,,29.0,,,,2.0,,,11.0,46.0,,chr10_121974081,chr10_121974873
chr10_121974081_121974389,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_121974081,chr10_121974389
chr10_122113233_122132608,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_122113233,chr10_122132608
chr10_122113233_122195039,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr10_122113233,chr10_122195039
chr10_12217467_12230947,,,,,17.0,11.0,,,,,6.0,,,,,,,,18.0,68.0,,,,,,100.0,12.0,,12.0,1.0,,,chr10_12217467,chr10_12230947
chr10_12217467_12235047,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,chr10_12217467,chr10_12235047
chr10_122427031_122428275,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,chr10_122427031,chr10_122428275
chr10_122427031_122429623,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,chr10_122427031,chr10_122429623
chr10_123162828_123163819,,,,,,3.0,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,chr10_123162828,chr10_123163819
chr10_123162828_123165046,,,,,,,,,,,,,,,,,,,,19.0,,10.0,35.0,,,,,,,,8.0,,chr10_123162828,chr10_123165046
chr10_124412200_124418872,13.0,,,,,3.0,,,,,,,,,57.0,,,,,8.0,3.0,,,,,,,,5.0,,,,chr10_124412200,chr10_124418872
chr10_124412200_124418157,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,chr10_124412200,chr10_124418157
chr10_124760503_124765391,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,44.0,,chr10_124760503,chr10_124765391
chr10_124760503_124762299,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,chr10_124760503,chr10_124762299
chr10_124966781_124969778,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,chr10_124966781,chr10_124969778
chr10_124966781_124971964,,17.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,chr10_124966781,chr10_124971964
chr10_125827638_125830561,,,,96.0,,,27.0,18.0,,,8.0,,16.0,,,1.0,,,,,13.0,42.0,,,,,13.0,14.0,,5.0,,,chr10_125827638,chr10_125830561
chr10_125827638_125831419,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,chr10_125827638,chr10_125831419
chr10_125833946_125836103,,,,13.0,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,1.0,,,chr10_125833946,chr10_125836103
chr10_125833946_125841254,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,chr10_125833946,chr10_125841254
chr10_126970785_126977533,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,chr10_126970785,chr10_126977533
chr10_126970785_126977947,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,chr10_126970785,chr10_126977947
chr10_13587152_13597457,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,24.0,,,,,,,17.0,,chr10_13587152,chr10_13597457
chr10_13587152_13591767,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_13587152,chr10_13591767
chr10_15097766_15102217,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,chr10_15097766,chr10_15102217
chr10_15097766_15103304,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,chr10_15097766,chr10_15103304
chr10_15837318_15837541,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,chr10_15837318,chr10_15837541
chr10_15837318_15838227,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,chr10_15837318,chr10_15838227
chr10_16782084_16816972,,,,,,,,,,,15.0,,,,,,,,,38.0,,26.0,,34.0,,,,,,,,,chr10_16782084,chr10_16816972
chr10_16782084_16817314,,11.0,,,,,,,,,6.0,,,,,13.0,,,,,,,,,,,,,,,,,chr10_16782084,chr10_16817314
chr10_24474060_24494499,,,,,,1.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,chr10_24474060,chr10_24494499
chr10_24474060_24491972,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_24474060,chr10_24491972
chr10_24474060_24495146,,,,,,,21.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_24474060,chr10_24495146
chr10_26751783_26759061,,,,,,,,,,,6.0,,,,,,,4.0,,,4.0,,,14.0,,,,,5.0,,,,chr10_26751783,chr10_26759061
chr10_26751783_26755654,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,chr10_26751783,chr10_26755654
chr10_27526889_27531528,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,chr10_27526889,chr10_27531528
chr10_27526889_27532506,6.0,,,,,8.0,20.0,18.0,,,,2.0,1.0,,,,,,,,,,,,28.0,,15.0,2.0,18.0,,14.0,,chr10_27526889,chr10_27532506
chr10_28131691_28147482,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,chr10_28131691,chr10_28147482
chr10_28131691_28149981,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_28131691,chr10_28149981
chr10_28610821_28611254,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_28610821,chr10_28611254
chr10_28610821_28611773,,,,,,,,,9.0,,,,,,,,,,,,6.0,,,,,,,,,,,,chr10_28610821,chr10_28611773
chr10_29686651_29735750,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_29686651,chr10_29735750
chr10_29686651_29735754,,,,,,,,11.0,,,,,,,,,,,,,,,8.0,4.0,,,,,,,7.0,,chr10_29686651,chr10_29735754
chr10_30434378_30438915,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,chr10_30434378,chr10_30438915
chr10_30434378_30447781,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,chr10_30434378,chr10_30447781
chr10_30434378_30434636,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,chr10_30434378,chr10_30434636
chr10_30434748_30436921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,chr10_30434748,chr10_30436921
chr10_30434748_30437175,,,,,,4.0,,,,,,,11.0,,,,,,,,,,,34.0,,,,,,,,,chr10_30434748,chr10_30437175
chr10_30434748_30437436,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,chr10_30434748,chr10_30437436
chr10_30434748_30438915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,chr10_30434748,chr10_30438915
chr10_30434748_30447781,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,chr10_30434748,chr10_30447781
chr10_30439274_30442570,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,chr10_30439274,chr10_30442570
chr10_30439274_30447781,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,31.0,,chr10_30439274,chr10_30447781
chr10_31831800_31843460,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,chr10_31831800,chr10_31843460
chr10_31831800_31839636,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,6.0,,,,,chr10_31831800,chr10_31839636
chr10_31852597_31861394,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,chr10_31852597,chr10_31861394
chr10_31852597_31854065,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,chr10_31852597,chr10_31854065
chr10_32305931_32346762,,,,17.0,,2.0,,4.0,3.0,,,,8.0,,,,,,,,,,,,,,,,8.0,,,6.0,chr10_32305931,chr10_32346762
chr10_32305931_32378490,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,chr10_32305931,chr10_32378490
chr10_32932600_32933350,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,chr10_32932600,chr10_32933350
chr10_32932600_32935491,8.0,,,,,,25.0,4.0,,,,,,1.0,,2.0,,,1.0,,,22.0,,,,1.0,,,,,,,chr10_32932600,chr10_32935491
chr10_34341816_34347955,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,chr10_34341816,chr10_34347955
chr10_34341816_34347964,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,chr10_34341816,chr10_34347964
chr10_35011964_35013698,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,1.0,,,chr10_35011964,chr10_35013698
chr10_35011964_35016191,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,chr10_35011964,chr10_35016191
chr10_35127193_35178888,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,chr10_35127193,chr10_35178888
chr10_35127193_35148367,,10.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,4.0,chr10_35127193,chr10_35148367
chr10_37177756_37180756,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,chr10_37177756,chr10_37180756
chr10_37177756_37181321,,,,,,3.0,,,,,,,47.0,,,,3.0,,,,,,,,,,,3.0,8.0,,,20.0,chr10_37177756,chr10_37181321
chr10_37185712_37187957,,,3.0,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,2.0,chr10_37185712,chr10_37187957
chr10_37185712_37193063,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,chr10_37185712,chr10_37193063
chr10_37201325_37215494,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_37201325,chr10_37215494
chr10_37201325_37216180,,,16.0,,,9.0,,,,,,,38.0,,,,8.0,,,,,,,,,,,,15.0,,,65.0,chr10_37201325,chr10_37216180
chr10_37201325_37218979,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_37201325,chr10_37218979
chr10_37309180_37311059,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chr10_37309180,chr10_37311059
chr10_37309180_37314377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,chr10_37309180,chr10_37314377
chr10_3779590_3781640,,,,,,15.0,,14.0,,,,,1.0,,,,,,93.0,,12.0,,12.0,98.0,,,,,,11.0,42.0,22.0,chr10_3779590,chr10_3781640
chr10_3779590_3780105,53.0,93.0,135.0,30.0,3.0,322.0,31.0,303.0,,,100.0,70.0,262.0,,,,,72.0,716.0,140.0,85.0,128.0,312.0,148.0,157.0,,79.0,10.0,26.0,117.0,536.0,153.0,chr10_3779590,chr10_3780105
chr10_3782214_3782671,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,chr10_3782214,chr10_3782671
chr10_3782214_3783215,,,,,,,,,,,,,,,,,,,17.0,,1.0,,,80.0,,,,,,,86.0,,chr10_3782214,chr10_3783215
